"year","state_name","state_code","sector","enterprise_type","activity","no_enterprises","msme_micro","msme_small","msme_medium","msme_total","non_msme","female_employees","male_employees","total_employees","formal_ann_salary","informal_ann_salary","all_ann_salary","less_than_4hours","hours_4to7","more_than_8hours","wh_not_reported","gross_value_added","per_employee_gva","per_enterprise_gva","within_hh","fixed","temporary_kiosk","no_fixed","mobile","total_outsidehh","ent_notreported","avg_gva_lessthan4hr","avg_gv_4to8hr","avg_gva_above8hr","avg_gva_all","proprietary_male","proprietary_female","proprietary_same_hh","proprietary_diff_hh","proprietary_shg","proprietary_trust","proprietary_others","proprietary_nr","perennial","seasonal","casual","operation_nr","own_management","usual_discharge","road_river_nala","not_generated_lw","local_civicauthority","authorised_ground","own_system","road_side","noprovision_thers","not_generated_sw","no_assistance","financial_loan","subsidy","machinery_equipment","skill_devlopment","marketing","raw_material","other_assistance","no_problems","power_cuts","shortage_raw_materials","fall_demand","high_cost_credit","non_recovery_financial_dues","non_available_labours","non_available_skilled_labour","labour_disputes","problems_others","not_registered","establishment_act","local_body","sales_tax_act","provident_fund_act","esc_act","stock_exchange","other_industry_act","donation_grants","major_receipt_others","not_any","data_collected","data_not_collected","no_accounts","st","sc","obc","social_groups_other","unknown"
"2016","Himachal Pradesh","02","Urban","Own Account Enterprises","Trade","26119","26106","13","0","26119","0","5149","27431","32580","0","39600","39600","0.0","7.0","93.0","0.0","542","166359.73","207511.77","108646","228077","1800","66600","55343","192735","0","1407600","41292","167225","163956","88","10","2","0","0","0","0","0","98","1","1","0","0","2","4","94","62","9","6","10","0","12","92","7","1","0","0","0","0","0","39","0","1","24","1","12","1","1","0","36","13","47","46","32","0","0","0","25","0","0","100","0","18","82","2","11","14","73","0"
"2016","Himachal Pradesh","02","Urban","Own Account Enterprises","Services","20333","20036","297","0","20333","0","4799","18756","23554","0","44250","44250","8.0","14.0","75.0","3.0","250","106139.09","122952.84","88153","143939","107859","194638","45604","127833","0","76003","75521","110835","102747","84","15","1","0","0","0","0","0","100","1","0","0","1","13","23","63","51","12","5","9","2","21","98","2","0","0","0","0","0","0","63","0","0","20","1","4","1","1","0","18","44","23","29","1","0","0","0","28","0","0","100","0","4","96","2","17","14","68","0"
"2016","Himachal Pradesh","02","Urban","Own Account Enterprises","Total","52473","52163","310","0","52473","0","12489","51965","64454","0","50416","50416","3.0","12.0","83.0","1.0","868","134669.69","165418.41","94841","192659","38094","126719","46125","136525","0","160354","61054","141397","131681","84","13","3","0","0","0","0","0","98","2","0","0","1","6","12","81","56","10","8","9","2","15","95","5","0","0","0","0","0","0","49","0","1","23","1","9","1","1","0","27","29","37","38","17","0","0","0","26","0","0","100","0","11","89","2","15","14","68","0"
"2016","Himachal Pradesh","02","Urban","Establishment","Manufacturing","4541","4439","102","0","4541","0","1404","15040","16444","66289","87906","82588","","","","","274","166626.13","603391.31","547285","612414","0","0","259260","0","0","68880","59591","166974","163880","89","6","4","1","0","0","0","0","100","0","0","0","1","5","13","81","42","10","33","10","3","3","91","9","0","0","0","0","0","0","46","1","4","14","2","11","7","5","0","28","22","50","38","21","1","0","0","34","0","0","100","0","29","71","2","15","9","73","2"
"2016","Himachal Pradesh","02","Urban","Establishment","Trade","9693","9164","529","0","9693","0","3164","28717","31882","82271","84225","83887","1.0","3.0","96.0","0.0","889","278840.72","917156.69","2178231","807696","0","0","0","0","0","114120","181706","281407","276601","86","10","3","1","0","0","0","0","100","0","0","0","1","5","6","88","69","7","8","4","0","11","87","13","0","0","0","0","0","0","50","1","0","16","1","3","4","1","0","35","16","67","51","62","1","1","0","15","0","0","100","1","64","36","1","4","4","90","2"
"2016","Himachal Pradesh","02","Urban","Establishment","Services","10445","9347","1094","4","10445","0","12941","43534","56475","112908","96260","102515","1.0","19.0","81.0","0.0","1247","220805.67","1193872.6","514886","1317079","436423","624831","439947","589132","0","137644","153638","236207","220896","77","10","5","2","0","2","4","0","100","0","0","0","6","19","20","55","57","14","10","6","0","13","92","8","1","0","0","0","0","0","51","0","0","13","3","5","4","4","0","31","16","35","42","23","2","1","0","55","1","2","97","1","51","49","2","5","15","77","1"
"2016","Himachal Pradesh","02","Urban","Establishment","Total","24680","22950","1725","4","24680","0","17509","87292","104801","102644","91117","94602","1.0","12.0","88.0","0.0","2410","229959.64","976499.19","1133141","979995","436423","624831","424391","589132","0","125135","152254","239100","228850","83","9","4","2","0","1","2","0","100","0","0","0","3","11","13","72","59","11","14","6","1","10","90","10","0","0","0","0","0","0","50","0","1","15","2","6","5","3","0","32","17","50","44","38","1","1","0","35","1","1","99","1","52","48","1","6","10","82","2"
"2016","Himachal Pradesh","02","Urban","All","Manufacturing","10561","10460","102","0","10561","0","3945","20819","24764","66289","87722","82473","","","","","349","140930.39","330461.13","195097","386023","85814","114378","259260","0","0","63509","59547","149687","138671","76","16","8","0","0","0","0","0","95","5","0","0","2","5","12","81","43","11","27","8","7","4","95","4","1","0","0","0","0","0","47","0","2","21","2","9","4","3","0","25","36","42","34","12","0","0","0","27","0","0","100","0","15","85","5","23","10","60","1"
"2016","Himachal Pradesh","02","Urban","All","Trade","35813","35271","542","0","35813","0","8313","56149","64462","82271","84197","83865","1.0","5.0","94.0","0.0","1431","221991.25","399575.56","463624","396204","1800","66600","55343","192735","0","498565","83489","224498","219496","88","10","2","0","0","0","0","0","99","1","0","0","1","3","5","92","64","9","7","8","0","12","91","9","0","0","0","0","0","0","42","1","1","22","1","10","2","1","0","35","14","52","47","40","0","0","0","22","0","0","100","0","30","70","2","9","12","77","1"
"2016","Himachal Pradesh","02","Urban","All","Services","30778","29383","1391","4","30778","0","17740","62290","80029","112908","96203","102474","3.0","17.0","79.0","1.0","1497","187057.19","486386.38","133655","641650","225223","230012","154532","283188","0","86213","133888","200553","185281","81","13","3","1","0","1","1","0","100","0","0","0","3","15","22","60","53","12","7","8","2","18","96","4","0","0","0","0","0","0","59","0","0","18","2","5","2","2","0","22","34","27","33","8","1","0","0","37","1","1","99","0","20","80","2","13","14","71","1"
"2016","Himachal Pradesh","02","Urban","All","Total","77153","75114","2035","4","77153","0","29998","139257","169255","102644","91047","94549","2.0","12.0","86.0","0.0","3278","193672.27","424870.06","246824","481595","65844","139413","153287","274775","0","151391","114163","202901","191455","84","12","3","1","0","0","1","0","99","1","0","0","2","8","13","78","57","11","10","8","2","13","94","6","0","0","0","0","0","0","49","0","1","20","1","8","2","2","0","29","25","41","40","24","0","0","0","29","0","0","100","0","24","76","2","12","13","72","1"
"2016","Himachal Pradesh","02","Total","Own Account Enterprises","Manufacturing","77683","77683","0","0","77683","0","24962","59586","84548","0","56706","56706","","","","","500","59138.004","64364.148","44184","88130","71367","122831","102815","143700","0","14804","41072","87498","55907","69","28","3","0","0","0","0","0","97","3","0","0","1","1","7","92","4","8","46","14","15","13","99","1","0","0","0","0","0","0","37","5","1","27","5","20","1","1","0","24","76","5","6","1","0","0","0","19","0","0","100","0","1","99","5","44","11","40","0"
"2016","Himachal Pradesh","02","Total","Own Account Enterprises","Trade","103034","102697","338","0","103034","0","14963","103573","118536","0","43845","43845","1.0","13.0","86.0","0.0","1387","117010.87","134615.77","90422","147986","109872","66600","42966","192735","0","268378","55978","117500","110408","90","8","1","0","0","0","0","0","99","1","0","0","0","2","7","92","18","19","27","24","1","11","90","10","0","0","0","0","0","0","43","0","1","26","3","15","0","0","0","25","35","23","16","17","0","0","0","36","0","1","99","0","11","89","4","18","16","62","0"
"2016","Himachal Pradesh","02","Total","Own Account Enterprises","Services","136255","135590","666","0","136255","0","18964","129248","148212","0","87663","87663","11.0","23.0","64.0","3.0","1553","104782.34","113977.47","82292","100932","129817","109124","207714","204111","0","74758","75172","115868","100127","87","10","2","0","2","0","0","0","98","1","0","0","2","5","22","72","9","9","16","24","1","41","93","8","0","0","0","0","0","0","57","0","0","19","1","3","3","1","0","22","53","7","9","1","0","0","0","40","0","0","100","0","4","96","6","20","13","61","0"
"2016","Himachal Pradesh","02","Total","Own Account Enterprises","Total","316973","315970","1003","0","316973","0","58889","292407","351296","0","74249","74249","7.0","28.0","65.0","1.0","3440","97923.117","108526.59","70257","121268","110597","108839","195695","203768","0","64189","55221","112779","92929","84","14","2","0","1","0","0","0","98","2","0","0","1","3","13","83","10","12","27","22","4","25","93","7","0","0","0","0","0","0","48","1","1","23","2","11","1","1","0","23","52","12","10","6","0","0","0","34","0","0","100","0","6","95","5","25","14","56","0"
"2016","Himachal Pradesh","02","Total","Establishment","Manufacturing","16221","15892","328","0","16221","0","5427","44600","50027","65001","84703","80050","","","","","659","131728.86","406263.5","376880","403937","258000","0","303671","733740","0","34790","74730","135420","129512","88","9","2","1","0","0","0","0","100","0","0","0","1","3","9","87","13","11","43","17","10","6","93","7","0","0","0","0","0","0","37","1","2","18","2","19","15","4","0","25","45","20","13","13","0","0","0","36","0","0","100","0","19","81","3","35","13","49","1"
